player,runs,boundaries,balls_faced,wickets,balls_bowled,runs_conceded,matches,batting_avg,batting_strike_rate,boundaries_percent,bowling_economy,bowling_avg,bowling_strike_rate,catches,Nationality
VRV Singh,4,1,3,12,371,549,18,0.22,133.33,33.33,8.88,45.75,30.92,3,Indian
VS Malik,7,1,7,6,212,268,13,0.54,100,14.29,7.58,44.67,35.33,2,Indian
VS Yeligati,2,0,2,0,32,61,2,1,100,0,11.44,610000,320000,0,Indian
VVS Laxman,282,38,271,0,0,0,20,14.1,104.06,14.02,0,0,0,4,Indian
VY Mahesh,15,0,28,21,359,511,17,0.88,53.57,0,8.54,24.33,17.1,6,Indian
Virat Singh,15,1,26,0,0,0,2,7.5,57.69,3.85,0,0,0,2,Indian
Vishnu Vinod,19,2,26,0,0,0,3,6.33,73.08,7.69,0,0,0,0,Indian
W Jaffer,130,17,129,0,0,0,8,16.25,100.78,13.18,0,0,0,4,Indian
WA Mota,56,2,76,4,75,98,10,5.6,73.68,2.63,7.84,24.5,18.75,5,Indian
WD Parnell,63,5,80,26,601,731,26,2.42,78.75,6.25,7.3,28.12,23.12,6,Overseas
WP Saha,2427,307,1951,0,0,0,117,20.74,124.4,15.74,0,0,0,79,Indian
WPUJC Vaas,81,5,73,18,288,364,13,6.23,110.96,6.85,7.58,20.22,16,0,Overseas
Washington Sundar,318,35,278,33,928,1116,50,6.36,114.39,12.59,7.22,33.82,28.12,9,Indian
X Thalaivan Sargunam,10,0,17,0,0,0,1,10,58.82,0,0,0,0,0,Indian
Y Gnaneswara Rao,19,3,18,0,6,7,2,9.5,105.56,16.67,7,70000,60000,2,Indian
Y Nagar,285,29,271,4,72,125,20,14.25,105.17,10.7,10.42,31.25,18,7,Indian
Y Prithvi Raj,0,0,1,1,33,57,2,0,0,0,10.36,56.99,33,0,Indian
Y Venugopal Rao,985,114,865,6,222,338,57,17.28,113.87,13.18,9.14,56.33,37,13,Indian
YA Abdulla,0,0,1,15,222,311,11,0,0,0,8.41,20.73,14.8,0,Indian
YBK Jaiswal,547,84,410,0,1,6,23,23.78,133.41,20.49,36,60000,10000,6,Indian
YK Pathan,3222,424,2334,42,1184,1443,161,20.01,138.05,18.17,7.31,34.36,28.19,41,Indian
YS Chahal,37,0,89,166,2940,3699,130,0.28,41.57,0,7.55,22.28,17.71,21,Indian
YV Takawale,192,29,183,0,0,0,10,19.2,104.92,15.85,0,0,0,13,Indian
Yash Dayal,0,0,1,11,205,296,9,0,0,0,8.66,26.91,18.64,1,Indian
Yashpal Singh,47,5,67,0,0,0,4,11.75,70.15,7.46,0,0,0,3,Indian
Younis Khan,3,0,7,0,0,0,1,3,42.86,0,0,0,0,1,Overseas
Yuvraj Singh,2754,367,2207,36,882,1091,129,21.35,124.78,16.63,7.42,30.31,24.5,29,Indian
Z Khan,117,13,13,102,2276,2860,99,1.18,82.98,9.22,7.54,28.04,22.31,20,Indian
